timestamp_utc,exchange,symbol,symbol_n,funding_rate,next_funding_rate,next_funding_time,funding_time,raw_note
2025-11-16 11:07:15+0000,bitget,SHIBUSDT_UMCBL,SHIB/USDT,-4.3e-05,,,2025-11-16 16:00:00+0000,symbol_used=SHIBUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,SOLUSDT_UMCBL,SOL/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=SOLUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,SQDUSDT_UMCBL,SQD/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=SQDUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,STRKUSDT_UMCBL,STRK/USDT,-0.000217,,,2025-11-16 12:00:00+0000,symbol_used=STRKUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,SUIUSDT_UMCBL,SUI/USDT,4.5e-05,,,2025-11-16 16:00:00+0000,symbol_used=SUIUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,TAOUSDT_UMCBL,TAO/USDT,-3.4e-05,,,2025-11-16 12:00:00+0000,symbol_used=TAOUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,TRUMPUSDT_UMCBL,TRUMP/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=TRUMPUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,UNIUSDT_UMCBL,UNI/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=UNIUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,VIRTUALUSDT_UMCBL,VIRTUAL/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=VIRTUALUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,WCTUSDT_UMCBL,WCT/USDT,-0.011837,,,2025-11-16 12:00:00+0000,symbol_used=WCTUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,WIFUSDT_UMCBL,WIF/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=WIFUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
